route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
1,Indiana/Hyde Park,01/01/2001,"6,982.6",0,0,"153,617"
2,Hyde Park Express,01/01/2001,"1,000",0,0,"22,001"
3,King Drive,01/01/2001,"21,406.5","13,210.7","8,725.3","567,413"
4,Cottage Grove,01/01/2001,"22,432.2","17,994","10,662.2","618,796"
6,Jackson Park Express,01/01/2001,"18,443","13,088.2","7,165.6","493,926"
7,Harrison,01/01/2001,"5,504.4",0,0,"121,097"
8,Halsted,01/01/2001,"19,582.2","12,420","8,280.8","521,892"
8A,South Halsted,01/01/2001,"3,196.5","3,006.6","1,336.2","89,030"
9,Ashland,01/01/2001,"29,265.4","22,621.7","15,336.1","811,006"
10,Museum of S & I,01/01/2001,0,562.6,372.9,"4,115"
11,Lincoln/Sedgwick,01/01/2001,"3,448.7","1,667.3",869.5,"86,887"
12,Roosevelt,01/01/2001,"10,763.5","6,950.6","4,691","288,055"
14,Jeffery Express,01/01/2001,"8,484.3",0,0,"186,655"
17,Westchester,01/01/2001,514.5,0,0,"11,319"
18,16th/18th,01/01/2001,"1,923.8",898.5,642.3,"49,130"
19,United Center Express,01/01/2001,322,327.1,368.4,"6,273"
20,Madison,01/01/2001,"21,570.3","12,804.3","8,184","566,683"
21,Cermak,01/01/2001,"7,423.7","7,747.2","4,781","218,216"
X21,Cermak Express,01/01/2001,0,"1,177.9",855.9,"8,991"
22,Clark,01/01/2001,"21,206.2","14,634.5","10,462.2","577,386"
24,Wentworth,01/01/2001,"3,893.4",0,0,"85,655"
25,West Cermak,01/01/2001,144.8,0,0,"3,186"
27,South Deering,01/01/2001,"5,629.5","2,984.1","2,423.6","147,904"
28,Stony Island,01/01/2001,"11,964.9","11,269.6","5,587.8","336,246"
29,State,01/01/2001,"16,328.2","12,511.5","8,537.9","451,955"
30,South Chicago,01/01/2001,"3,823.5","1,960.2",652.2,"95,218"
33,Mag Mile Express,01/01/2001,770.2,0,0,"16,944"
34,South Michigan,01/01/2001,"7,911.6","5,744.2","3,580.5","214,933"
35,35th,01/01/2001,"5,977.7","3,342.5","1,810.1","153,931"
36,Broadway,01/01/2001,"15,360","13,898.6","8,687.4","436,950"
37,Sedgwick,01/01/2001,"2,500.6",0,0,"55,014"
39,Pershing,01/01/2001,"2,249.6",0,0,"49,492"
43,43rd,01/01/2001,"1,351",679.3,354.8,"34,213"
44,Wallace-Racine,01/01/2001,"6,559.2","2,696","1,564.6","162,910"
47,47th,01/01/2001,"8,069.8","6,422.7","3,490.7","220,680"
48,South Damen,01/01/2001,"1,120.6",0,0,"24,654"
49,Western,01/01/2001,"23,732.1","20,598.9","12,432.2","666,662"
49A,South Western,01/01/2001,333.3,0,0,"7,332"
49B,North Western,01/01/2001,"5,087.6","3,065","1,954.1","133,958"
X49,Western Express,01/01/2001,"5,131.8",0,0,"112,899"
50,Damen,01/01/2001,"8,322.7","4,419.7","2,470.1","213,128"
51,51st,01/01/2001,"4,654.8","3,675","2,169.4","127,952"
52,Kedzie/California,01/01/2001,"11,592.4","8,223.9","5,112.6","313,490"
52A,South Kedzie,01/01/2001,"5,919.1","3,596.1","1,925.5","154,232"
53,Pulaski,01/01/2001,"21,726","15,984.4","9,466.2","589,242"
53A,South Pulaski,01/01/2001,"9,037.4","3,198","1,417.1","218,700"
54,Cicero,01/01/2001,"12,138.9","9,536.3","5,940.5","334,903"
54A,North Cicero/Skokie Blvd.,01/01/2001,"1,281.3",0,0,"28,188"
54B,South Cicero,01/01/2001,"4,775.5","4,468.6","2,377.5","134,823"
55,Garfield,01/01/2001,"12,778.5","9,126.4","6,495.9","350,112"
55N,55th/Narragansett,01/01/2001,"1,071.8",164.4,0,"24,237"
56,Milwaukee,01/01/2001,"14,274.6","9,160.4","6,174.4","381,555"
56A,North Milwaukee,01/01/2001,568.5,0,0,"11,938"
57,Laramie,01/01/2001,"3,042.6","1,412.8",616.1,"75,668"
59,59th/61st,01/01/2001,"4,260.5","2,222.6",0,"102,622"
60,Blue Island/26th,01/01/2001,"13,431.4","9,929.4","6,310.6","366,761"
62,Archer,01/01/2001,"14,926","6,856.3","4,667.4","379,135"
62H,Archer/Harlem,01/01/2001,"1,392.2",640,0,"33,189"
63,63rd,01/01/2001,"21,814.1","17,120.8","11,466.5","605,727"
63W,West 63rd,01/01/2001,"2,196.4",720.5,378.2,"53,094"
64,Foster-Canfield,01/01/2001,337.2,0,0,"7,419"
65,Grand,01/01/2001,"6,695.3","3,173.9","1,805.7","169,020"
66,Chicago,01/01/2001,"21,001.5","13,332.8","8,478.8","557,759"
67,67th-69th-71st,01/01/2001,"14,219.5","9,844.6","7,025.6","387,336"
68,Northwest Highway,01/01/2001,"1,579.5",608.1,286.5,"38,614"
69,Cumberland/East River,01/01/2001,417.2,0,0,"8,761"
70,Division,01/01/2001,"11,102.5","7,625.8","5,264","301,077"
71,71st/South Shore,01/01/2001,"7,136.7","5,565.3","3,119","194,863"
72,North,01/01/2001,"15,417.4","11,359.3","6,853.7","418,889"
73,Armitage,01/01/2001,"4,994.3","2,688.6","1,372.4","127,491"
74,Fullerton,01/01/2001,"12,842.3","9,858.6","5,968","351,804"
75,74th-75th,01/01/2001,"7,081.7","4,725.3","2,795.5","188,676"
76,Diversey,01/01/2001,"13,254.3","8,168.3","4,827.2","348,404"
77,Belmont,01/01/2001,"19,856.3","12,733.9","8,400","529,774"
78,Montrose,01/01/2001,"8,891.8","5,826.3","3,274.2","235,297"
79,79th,01/01/2001,"30,018.4","23,808.6","15,573.7","833,507"
80,Irving Park,01/01/2001,"11,837.8","8,077.1","5,275.2","319,117"
81,Lawrence,01/01/2001,"14,489.3","11,561.8","7,558","402,803"
81W,West Lawrence,01/01/2001,"1,577.3",837.2,337.6,"39,738"
82,Kimball-Homan,01/01/2001,"19,622.7","11,451.6","6,745.8","511,235"
84,Peterson,01/01/2001,"4,357.5","2,418.1","1,145.6","111,265"
85,Central,01/01/2001,"13,188.5","8,148.9","4,850.7","346,996"
85A,North Central,01/01/2001,952.5,148.7,0,"21,550"
86,Narragansett/Ridgeland,01/01/2001,"1,831.2",0,0,"40,287"
87,87th,01/01/2001,"15,732.2","10,389.7","5,571.5","415,524"
88,Higgins,01/01/2001,"1,721.8",650.3,523.9,"43,101"
90,Harlem,01/01/2001,"3,880.4","3,002.1","1,382.3","104,289"
90N,North Harlem,01/01/2001,318.9,98.7,0,"7,412"
91,Austin,01/01/2001,"8,583.5","4,415","2,384.8","218,421"
92,Foster,01/01/2001,"7,414.5","4,123.2","2,316.9","191,196"
93,California/Dodge,01/01/2001,"2,228","1,057.5",0,"53,246"
94,South California,01/01/2001,"10,603.7","4,792.6","3,467","269,786"
95E,93rd-95th,01/01/2001,"5,787.1","4,530.5","3,014.3","160,511"
95W,West 95th,01/01/2001,"5,162.6","4,526.5","2,556.7","144,468"
96,Lunt,01/01/2001,"1,343.2",0,0,"29,550"
97,Skokie,01/01/2001,"3,681.4","2,066.7","1,167.5","95,096"
100,Jeffery Manor Express,01/01/2001,"1,167",0,0,"25,673"
103,West 103rd,01/01/2001,"3,704.9","1,564.8","1,071","93,121"
106,East 103rd,01/01/2001,"2,317.8",570.3,398.4,"55,265"
108,Halsted/95th,01/01/2001,"2,928.1",0,0,"64,417"
111,Pullman/111th/115th,01/01/2001,"6,074.4","3,474.9","2,062.4","157,849"
112,Vincennes/111th,01/01/2001,"3,874","1,439.3",935.1,"95,661"
119,Michigan/119th,01/01/2001,"5,171.2","4,747.3","2,890.1","147,205"
120,Ogilvie/Wacker Express,01/01/2001,635.5,0,0,"13,982"
121,Union/Wacker Express,01/01/2001,"1,210.6",0,0,"26,633"
122,Illinois Center/Ogilvie Express,01/01/2001,"1,122.9",0,0,"24,705"
123,Illinois Center/Union Express,01/01/2001,886.2,0,0,"19,495"
125,Water Tower Express,01/01/2001,"2,690.8",0,0,"59,197"
126,Jackson,01/01/2001,"10,129.2","4,785.9","2,650.5","255,239"
127,Madison/Roosevelt Circulator,01/01/2001,245.9,0,0,"5,410"
129,West Loop/South Loop,01/01/2001,792.7,0,0,"17,439"
135,Clarendon/LaSalle Express,01/01/2001,"2,621.3",0,0,"57,669"
136,Sheridan/LaSalle Express,01/01/2001,"2,055.4",0,0,"45,218"
145,Wilson/Michigan Express,01/01/2001,"8,074.3","4,110.5","1,831.2","203,232"
146,Inner Drive/Michigan Express,01/01/2001,"9,355.1","5,362.4","3,117.4","242,849"
147,Outer Drive Express,01/01/2001,"8,812.6","5,443.1",0,"215,649"
151,Sheridan,01/01/2001,"23,604.8","14,136.3","11,694.7","634,324"
152,Addison,01/01/2001,"10,738.1","4,457.2","2,287.1","265,503"
155,Devon,01/01/2001,"7,283.4","5,229.9","3,555.3","198,930"
156,LaSalle,01/01/2001,"9,039.1",0,0,"198,859"
157,Streeterville/Taylor,01/01/2001,"3,315.2",0,0,"72,933"
169,69th-UPS Express,01/01/2001,885.9,53.7,0,"19,704"
170,U. of Chicago/Midway,01/01/2001,287.1,0,0,"6,315"
171,U. of Chicago/Hyde Park,01/01/2001,864.9,413.2,178.3,"21,573"
172,U. of Chicago/Kenwood,01/01/2001,890.2,74.4,46.6,"20,116"
173,U. of Chicago/Lakeview Express,01/01/2001,253,562.1,254.6,"9,088"
201,Central/Ridge,01/01/2001,"1,275.3",615.9,268.9,"31,865"
202,Main/Emerson,01/01/2001,480.1,0,0,"10,563"
203,Ridge/Grant,01/01/2001,"1,593.3",0,0,"35,053"
204,Dodge,01/01/2001,"1,445.4",0,0,"31,798"
1,Indiana/Hyde Park,02/01/2001,"7,401.4",0,0,"148,028"
2,Hyde Park Express,02/01/2001,976.8,0,0,"19,535"
3,King Drive,02/01/2001,"23,226","14,743","10,136.2","564,037"
4,Cottage Grove,02/01/2001,"23,907.9","17,637","11,797.6","595,896"
6,Jackson Park Express,02/01/2001,"19,337.2","12,335.8","7,917.8","467,758"
7,Harrison,02/01/2001,"5,684.4",0,0,"113,688"
8,Halsted,02/01/2001,"20,741.7","12,528.9","9,279.6","502,067"
8A,South Halsted,02/01/2001,"3,296.3","2,786.2","1,535.4","83,212"
9,Ashland,02/01/2001,"31,183.8","23,385.3","16,717.4","784,087"
10,Museum of S & I,02/01/2001,0,633.7,470.3,"4,416"
11,Lincoln/Sedgwick,02/01/2001,"3,606.1","1,661.2",969.2,"82,644"
