ID,Case Number,Date,Time,AM/PM,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,Wards 2023-
13425318,JH220414,4/10/2024,12:00:00,AM,0000X W 87TH ST,460,BATTERY,SIMPLE,CTA BUS STOP,FALSE,FALSE,634,6,21,44,08B,2024,4/17/2024 15:41,41.73627743,-87.62510451,"(41.736277427, -87.62510451)",18,"21,554",40,1,13,59,20,242,21
13424224,JH219164,4/9/2024,11:30:00,PM,009XX W BELMONT AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA TRAIN,TRUE,FALSE,1933,19,44,6,26,2024,4/17/2024 15:41,41.93991842,-87.65328888,"(41.93991842, -87.653288878)",38,"4,449",57,681,25,22,5,31,44
13425209,JH219155,4/9/2024,11:25:00,PM,109XX S MICHIGAN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,CTA BUS STOP,TRUE,FALSE,513,5,9,49,16,2024,4/17/2024 15:41,41.69555515,-87.62077676,"(41.695555151, -87.62077676)",30,"21,861",45,237,43,19,10,260,11
13424232,JH219000,4/9/2024,8:35:00,PM,012XX W LOYOLA AVE,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,2432,24,49,1,08B,2024,4/17/2024 15:41,42.00106499,-87.66125447,"(42.001064985, -87.661254473)",3,"21,853",10,48,5,9,11,41,49
13424188,JH219019,4/9/2024,7:15:00,PM,052XX S PULASKI RD,460,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,815,8,23,62,08B,2024,4/17/2024 15:41,41.79798376,-87.72329858,"(41.79798376, -87.723298581)",35,"22,248",60,793,6,56,13,105,23
13424155,JH219025,4/9/2024,5:51:00,PM,005XX S CENTRAL AVE,560,ASSAULT,SIMPLE,CTA BUS,TRUE,FALSE,1522,15,29,25,08A,2024,4/17/2024 15:41,41.87307587,-87.76460026,"(41.873075866, -87.764600261)",52,"22,216",26,67,7,32,25,99,29
13423997,JH218775,4/9/2024,5:00:00,PM,002XX S STATE ST,1330,CRIMINAL TRESPASS,TO LAND,CTA STATION,FALSE,FALSE,113,1,34,32,26,2024,4/17/2024 15:41,41.878639,-87.62769149,"(41.878638996, -87.627691486)",22,"14,912",38,92,36,29,22,126,34
13423705,JH218564,4/9/2024,3:40:00,PM,004XX S CLINTON ST,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,CTA TRAIN,TRUE,FALSE,121,1,34,28,18,2024,4/17/2024 15:41,41.87612122,-87.64100397,"(41.876121224, -87.641003973)",48,"14,917",29,97,26,44,22,91,28
13424120,JH218563,4/9/2024,3:10:00,PM,065XX S PROMONTORY DR,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA BUS STOP,FALSE,FALSE,331,3,5,42,04B,2024,4/17/2024 15:41,41.77640043,-87.57044804,"(41.776400433, -87.570448042)",32,"22,538",9,134,33,24,18,262,3
13423655,JH218538,4/9/2024,2:53:00,PM,002XX S STATE ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,CTA TRAIN,TRUE,FALSE,113,1,34,32,18,2024,4/17/2024 15:41,41.878639,-87.62769149,"(41.878638996, -87.627691486)",22,"14,912",38,92,36,29,22,126,34
13423754,JH218512,4/9/2024,2:40:00,PM,005XX W HARRISON ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CTA BUS,FALSE,FALSE,124,1,28,28,26,2024,4/17/2024 15:41,41.87438184,-87.64153679,"(41.874381838, -87.641536792)",48,"14,917",29,97,26,44,22,147,28
13425466,JH220685,4/9/2024,9:55:00,AM,002XX N LA SALLE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA STATION,FALSE,FALSE,122,1,42,32,14,2024,4/17/2024 15:41,41.88590199,-87.63245549,"(41.885901992, -87.632455489)",22,"14,309",38,92,36,42,22,79,42
13423155,JH217873,4/9/2024,2:03:00,AM,046XX N WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA BUS,FALSE,FALSE,1911,19,47,4,14,2024,4/17/2024 15:41,41.96613857,-87.6888317,"(41.966138567, -87.688831703)",13,"21,849",6,666,18,20,5,10,47
13423180,JH217863,4/9/2024,1:09:00,AM,002XX N LA SALLE ST,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA STATION,TRUE,FALSE,122,1,42,32,04A,2024,4/17/2024 15:41,41.88590199,-87.63245549,"(41.885901992, -87.632455489)",22,"14,309",38,92,36,42,22,79,42
13424140,JH217753,4/8/2024,10:30:00,PM,047XX N KIMBALL AVE,312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,FALSE,FALSE,1713,17,33,14,3,2024,4/16/2024 15:41,41.96753862,-87.71334024,"(41.967538619, -87.713340244)",2,"21,849",14,118,20,20,1,9,33
13422822,JH217508,4/8/2024,6:21:00,PM,002XX S DEARBORN ST,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,CTA TRAIN,FALSE,FALSE,113,1,34,32,18,2024,4/16/2024 15:41,41.87892626,-87.62933706,"(41.878926264, -87.629337063)",22,"14,912",38,92,36,29,22,126,34
13422765,JH217335,4/8/2024,4:34:00,PM,012XX S PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA BUS,FALSE,FALSE,1011,10,24,29,14,2024,4/16/2024 15:41,41.86480001,-87.72512722,"(41.864800009, -87.725127221)",36,"21,569",30,33,14,57,21,155,24
13422972,JH217498,4/8/2024,3:00:00,PM,069XX S YALE AVE,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,FALSE,FALSE,731,7,6,69,04A,2024,4/16/2024 15:41,41.76888359,-87.63109504,"(41.768883586, -87.63109504)",31,"21,559",67,513,32,11,17,210,4
13422874,JH217628,4/8/2024,10:30:00,AM,009XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,CTA STATION,FALSE,FALSE,1812,18,43,7,6,2024,4/16/2024 15:41,41.92539845,-87.6523113,"(41.925398449, -87.652311296)",51,"21,190",68,769,34,16,5,173,43
