month_beginning,station_id,stationame,avg_weekday_rides,avg_saturday_rides,avg_sunday.holiday_rides,monthtotal,no_of_trips,TAVG.Calc.F.,TMAX..Degrees.Fahrenheit.,TMIN..Degrees.Fahrenheit.,PRCP..Inches.,SNOW..Inches.,SNWD..Inches.
1/1/2023,40900,Howard,2591.5,1854,1505,70868,5950.5,0,0,0,0.12,0,0
1/1/2023,40900,Howard,2591.5,1854,1505,70868,5950.5,41,45,37,0.14,0,0
1/1/2023,40900,Howard,2591.5,1854,1505,70868,5950.5,0,0,0,0.14,0,0
1/1/2023,40900,Howard,2591.5,1854,1505,70868,5950.5,0,0,0,0.19,0,0
1/1/2023,41190,Jarvis,784,668.8,486.5,22057,1939.3,0,0,0,0.12,0,0
1/1/2023,41190,Jarvis,784,668.8,486.5,22057,1939.3,41,45,37,0.14,0,0
1/1/2023,41190,Jarvis,784,668.8,486.5,22057,1939.3,0,0,0,0.14,0,0
1/1/2023,41190,Jarvis,784,668.8,486.5,22057,1939.3,0,0,0,0.19,0,0
1/1/2023,40100,Morse,1995.2,1511,1191.2,55090,4697.4,0,0,0,0.12,0,0
1/1/2023,40100,Morse,1995.2,1511,1191.2,55090,4697.4,41,45,37,0.14,0,0
1/1/2023,40100,Morse,1995.2,1511,1191.2,55090,4697.4,0,0,0,0.14,0,0
1/1/2023,40100,Morse,1995.2,1511,1191.2,55090,4697.4,0,0,0,0.19,0,0
1/1/2023,41300,Loyola,2361.3,2021,1376.3,65929,5758.6,0,0,0,0.12,0,0
1/1/2023,41300,Loyola,2361.3,2021,1376.3,65929,5758.6,41,45,37,0.14,0,0
1/1/2023,41300,Loyola,2361.3,2021,1376.3,65929,5758.6,0,0,0,0.14,0,0
1/1/2023,41300,Loyola,2361.3,2021,1376.3,65929,5758.6,0,0,0,0.19,0,0
1/1/2023,40760,Granville,1785.2,1558.5,1048.5,50015,4392.2,0,0,0,0.12,0,0
1/1/2023,40760,Granville,1785.2,1558.5,1048.5,50015,4392.2,41,45,37,0.14,0,0
1/1/2023,40760,Granville,1785.2,1558.5,1048.5,50015,4392.2,0,0,0,0.14,0,0
1/1/2023,40760,Granville,1785.2,1558.5,1048.5,50015,4392.2,0,0,0,0.19,0,0
1/1/2023,40880,Thorndale,1337.8,968.5,721.3,36295,3027.6,0,0,0,0.12,0,0
1/1/2023,40880,Thorndale,1337.8,968.5,721.3,36295,3027.6,41,45,37,0.14,0,0
1/1/2023,40880,Thorndale,1337.8,968.5,721.3,36295,3027.6,0,0,0,0.14,0,0
1/1/2023,40880,Thorndale,1337.8,968.5,721.3,36295,3027.6,0,0,0,0.19,0,0
1/1/2023,41380,Bryn Mawr,1879,1414.3,1065.3,51507,4358.6,0,0,0,0.12,0,0
1/1/2023,41380,Bryn Mawr,1879,1414.3,1065.3,51507,4358.6,41,45,37,0.14,0,0
1/1/2023,41380,Bryn Mawr,1879,1414.3,1065.3,51507,4358.6,0,0,0,0.14,0,0
1/1/2023,41380,Bryn Mawr,1879,1414.3,1065.3,51507,4358.6,0,0,0,0.19,0,0
1/1/2023,40340,Berwyn,0,0,0,0,0,0,0,0,0.12,0,0
1/1/2023,40340,Berwyn,0,0,0,0,0,41,45,37,0.14,0,0
1/1/2023,40340,Berwyn,0,0,0,0,0,0,0,0,0.14,0,0
1/1/2023,40340,Berwyn,0,0,0,0,0,0,0,0,0.19,0,0
1/1/2023,41200,Argyle,2027.6,1997.3,1320,58489,5344.9,0,0,0,0.12,0,0
1/1/2023,41200,Argyle,2027.6,1997.3,1320,58489,5344.9,41,45,37,0.14,0,0
1/1/2023,41200,Argyle,2027.6,1997.3,1320,58489,5344.9,0,0,0,0.14,0,0
1/1/2023,41200,Argyle,2027.6,1997.3,1320,58489,5344.9,0,0,0,0.19,0,0
1/1/2023,40770,Lawrence,0,0,0,0,0,0,0,0,0.12,0,0
1/1/2023,40770,Lawrence,0,0,0,0,0,41,45,37,0.14,0,0
1/1/2023,40770,Lawrence,0,0,0,0,0,0,0,0,0.14,0,0
1/1/2023,40770,Lawrence,0,0,0,0,0,0,0,0,0.19,0,0
1/1/2023,40540,Wilson,4098.1,3136.8,2258,112155,9492.9,0,0,0,0.12,0,0
1/1/2023,40540,Wilson,4098.1,3136.8,2258,112155,9492.9,41,45,37,0.14,0,0
1/1/2023,40540,Wilson,4098.1,3136.8,2258,112155,9492.9,0,0,0,0.14,0,0
1/1/2023,40540,Wilson,4098.1,3136.8,2258,112155,9492.9,0,0,0,0.19,0,0
1/1/2023,40080,Sheridan,2134.6,1575.8,1150.5,58032,4860.9,0,0,0,0.12,0,0
