Date,TAVG (orig),TAVG(Calc F),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),location
5/1/1997,,48.00,60.00,36.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/2/1997,,49.00,53.00,45.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/3/1997,,49.50,57.00,42.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/4/1997,,52.00,64.00,40.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/5/1997,,62.50,75.00,50.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/6/1997,,55.50,67.00,44.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/7/1997,,55.50,64.00,47.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/8/1997,,61.50,71.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/9/1997,,50.50,57.00,44.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/10/1997,,50.50,61.00,40.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/11/1997,,61.50,72.00,51.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/12/1997,,52.50,62.00,43.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/13/1997,,45.00,51.00,39.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/14/1997,,51.50,58.00,45.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/15/1997,,45.50,51.00,40.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/16/1997,,52.00,67.00,37.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/17/1997,,52.00,62.00,42.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/18/1997,,61.50,79.00,44.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/19/1997,,55.50,65.00,46.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/20/1997,,52.50,62.00,43.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/21/1997,,48.50,57.00,40.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/22/1997,,52.00,65.00,39.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/23/1997,,59.50,76.00,43.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/24/1997,,69.50,84.00,55.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/25/1997,,54.50,59.00,50.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/26/1997,,52.50,57.00,48.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/27/1997,,57.00,66.00,48.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/28/1997,,58.00,63.00,53.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/29/1997,,60.50,64.00,57.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/30/1997,,62.50,69.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
5/31/1997,,60.50,67.00,54.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/1/1997,,60.00,68.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/2/1997,,58.00,63.00,53.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/3/1997,,62.50,70.00,55.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/4/1997,,60.50,72.00,49.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/5/1997,,64.00,75.00,53.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/6/1997,,62.50,67.00,58.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/7/1997,,59.50,63.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/8/1997,,62.50,71.00,54.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/9/1997,,63.50,75.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/10/1997,,67.00,80.00,54.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/11/1997,,0.00,,,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/12/1997,,69.50,76.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/13/1997,,71.50,83.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/14/1997,,60.50,69.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/15/1997,,66.00,83.00,49.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/16/1997,,68.00,80.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/17/1997,,62.00,70.00,54.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/18/1997,,68.50,80.00,57.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/19/1997,,72.50,87.00,58.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/20/1997,,83.00,90.00,76.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/21/1997,,77.00,84.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/22/1997,,78.00,89.00,67.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/23/1997,,84.00,94.00,74.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/24/1997,,86.00,96.00,76.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/25/1997,,79.00,87.00,71.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/26/1997,,75.50,84.00,67.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/27/1997,,75.50,87.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/28/1997,,78.00,89.00,67.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/29/1997,,80.00,90.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
6/30/1997,,77.50,85.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/1/1997,,79.50,91.00,68.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/2/1997,,82.00,94.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/3/1997,,69.50,76.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
